1948-02-01,"		108",-1.4,-15.8,13.7
1948-03-01,"		108",4.7,-6.8,16.8
1948-04-01,"		108",12.5,3.9,25
1948-05-01,"		108",16,6.4,28.9
1948-06-01,"		108",20.9,9.7,31.1
1948-07-01,"		108",24.3,16.7,32.9
1948-08-01,"		108",25.8,19,34.4
1948-09-01,"		108",20.2,10.2,33.6
1948-10-01,"		108",13.3,-0.8,26.5
1948-11-01,"		108",5.1,-8.7,18.2
1948-12-01,"		108",3.8,-7.7,12.9
1949-01-01,"		108",-3,-14,9.4
1949-02-01,"		108",1.3,-10.1,15.5
1949-03-01,"		108",3.4,-5.4,14.4
1949-04-01,"		108",9.9,0.8,23.8
1949-05-01,"		108",16.4,6.8,30.6
1949-06-01,"		108",20.5,10.9,36
1949-07-01,"		108",24.8,17,34.1
1949-08-01,"		108",26.1,16.9,37.7
1949-09-01,"		108",20.8,12,31.3
1949-10-01,"		108",13.9,-1.7,25.1
1949-11-01,"		108",7,-7.6,18.9
1949-12-01,"		108",-1.3,-14.9,16.4
1950-01-01,"		108",-1.3,-18,10.1
1950-02-01,"		108",-0.4,-10.5,9.3
1950-03-01,"		108",4.6,-9.3,21.9
1950-04-01,"		108",13.1,1.1,27.8
1950-05-01,"		108",17.5,7.4,34.4
1950-06-01,"		108",20.8,11.7,32.5
1950-07-01,"		108",26,16.5,36.1
1950-08-01,"		108",26.5,15.2,36.9
1950-09-01,"		108",,,
1950-10-01,"		108",,,
1951-12-01,"		108",,,
1952-01-01,"		108",,,
1952-02-01,"		108",,,
1952-03-01,"		108",,,
1952-04-01,"		108",,,
1952-05-01,"		108",,,
1952-06-01,"		108",,,
1952-07-01,"		108",,,
1952-09-01,"		108",,,
1952-10-01,"		108",,,
1952-11-01,"		108",,,
1952-12-01,"		108",,,
1953-01-01,"		108",,,
1953-02-01,"		108",,,
1953-03-01,"		108",,,
1953-04-01,"		108",,,
1953-05-01,"		108",,,
1953-06-01,"		108",,,
1953-07-01,"		108",,,
1953-08-01,"		108",,,
1953-09-01,"		108",,,
1953-10-01,"		108",,,
1953-11-01,"		108",,,
1953-12-01,"		108",0.6,-9.2,16.2
1954-01-01,"		108",-1.5,-11.9,10.7
1954-02-01,"		108",0.4,-13.9,12.2
1954-03-01,"		108",3.1,-7.8,18.2
1954-04-01,"		108",11.8,3,26.8
1954-05-01,"		108",16.6,7.8,28.6
1954-06-01,"		108",19.6,12.6,30.4
1954-07-01,"		108",21.9,13.6,31.9
1954-08-01,"		108",25.7,16.9,34.3
1954-09-01,"		108",20.3,10.2,30
1954-10-01,"		108",12.5,0.8,25
1954-11-01,"		108",9.5,-2.4,19.1
1954-12-01,"		108",-2.7,-12.5,10.9
1955-01-01,"		108",-5.6,-17.2,5.4
1955-02-01,"		108",-0.1,-14.3,15.1
1955-03-01,"		108",4.4,-4.8,16.2
1955-04-01,"		108",11.1,-2.5,25
1955-05-01,"		108",15.9,8.2,29
1955-06-01,"		108",21.4,11.2,33.8
1955-07-01,"		108",24.5,17.9,32.8
1955-08-01,"		108",26.2,18.6,35
1955-09-01,"		108",20.7,11,32.3
1955-10-01,"		108",12.6,1.3,27.3
1955-11-01,"		108",5.9,-4.1,18.3
1955-12-01,"		108",0.6,-9.7,12.9
1956-01-01,"		108",-3.9,-15.7,8.7
1956-02-01,"		108",-3.4,-13.1,7.2
1956-03-01,"		108",3.7,-8.5,15.8
1956-04-01,"		108",9.5,1.4,21.4
1956-05-01,"		108",15.1,6.3,26.7
1956-06-01,"		108",19.7,12.4,31.3
1956-07-01,"		108",24.3,17.5,34.7
1956-08-01,"		108",24.8,15.5,35
1956-09-01,"		108",20.4,7.5,30.3
1956-10-01,"		108",12.8,-1.1,24.9
1956-11-01,"		108",3.2,-8.8,20.6
1956-12-01,"		108",-5.2,-15.1,8.9
1957-01-01,"		108",-3.5,-14.5,6.6
1957-02-01,"		108",-4.3,-17.3,6.2
1957-03-01,"		108",0,-9.5,13.8
1957-04-01,"		108",10.4,-2.7,26.3
1957-05-01,"		108",16.9,8,29.8
1957-06-01,"		108",20.1,11.8,32.5
